Month,(All),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Data,Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Taiwan,15250,16695,18411,17506,17333,16665,15545,15562,15844,14768,12696,10031,9209,8192,7967,8305,9470,10817,11163,4615,5578,6231,6615,5638,5849,5733,5525,6322,5776,4904,3972,3131,2909,2792,2915,3001,3506,3629,3831,721
,,Tajikistan,0,0,11,0,0,0,0,0,0,0,0,0,6,12,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
,,Tanzania,180,193,198,252,260,257,222,177,158,138,162,244,240,192,156,160,166,139,117,42,72,37,66,84,92,29,66,81,62,30,90,76,24,48,36,40,34,31,21,6
,,Thailand,6268,7834,8039,7480,7208,6226,5108,4823,5234,4557,3383,3393,3483,3608,3559,3872,3969,3856,3842,1514,2980,3178,2903,2596,2180,2122,1316,1979,2018,1245,923,1221,1215,1208,1243,1292,1341,1144,1322,200
,,Tonga,134,108,61,60,64,65,72,48,41,23,74,58,66,48,30,76,83,82,93,59,62,0,1,0,40,29,12,0,17,11,50,22,6,0,30,40,11,22,33,23
,,Trinidad and Tobago,12,39,24,29,35,24,46,57,44,47,36,57,64,70,59,32,36,24,12,10,0,27,0,17,11,0,22,33,8,11,0,45,16,10,23,8,12,0,0,4
,,Tunisia,12,21,12,22,24,23,0,6,22,12,23,35,30,11,23,23,15,30,35,6,0,9,0,10,12,11,0,6,10,0,11,11,6,11,11,11,3,6,11,0
,,Turkey,259,290,299,232,267,348,412,443,636,696,722,668,489,446,422,487,434,423,414,160,115,62,107,64,123,132,124,131,240,204,206,236,93,122,182,163,110,111,126,28
,,Turkmenistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,4,5
,,Turks and Caicos Islands,4,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Tuvalu,56,58,52,60,59,48,63,36,12,12,12,0,0,10,12,23,24,24,12,0,44,10,16,0,11,0,15,0,0,0,0,0,0,10,0,11,0,0,0,0
,,Uganda,82,124,140,137,112,140,118,116,148,127,145,156,185,171,247,256,238,177,133,82,34,40,68,65,28,44,34,44,16,19,25,48,77,51,67,64,34,21,37,28
,,Ukraine,86,95,93,110,145,84,61,94,177,268,205,252,346,367,326,339,167,75,63,40,26,11,33,38,49,0,13,58,69,124,61,120,94,115,62,75,11,39,15,4
,,United Arab Emirates,369,576,965,1689,1961,2285,2599,2969,3425,2746,2065,1564,998,751,646,632,658,502,484,231,237,216,485,717,641,809,1171,1013,1205,718,541,364,146,163,154,224,238,94,136,57
,,United Kingdom,2567,3452,4172,4509,4764,4497,4245,4073,4287,4186,3844,3579,3452,3147,3023,3221,3123,3192,3107,1340,1235,1376,1472,1389,1716,1461,1461,1349,1611,1198,1108,1035,1148,951,995,1181,891,876,743,290
,,United Kingdom (Other),636,459,304,172,106,77,48,12,10,12,0,6,12,12,12,0,0,0,6,6,144,99,16,52,10,17,0,0,10,0,0,6,0,0,0,0,0,0,6,0
,,United States (Territories),6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,United States of America,7395,6113,6644,6699,6386,6542,6154,6172,7400,7826,8053,8707,9773,10428,11251,11740,11849,12677,11597,4675,4899,2801,2564,2463,2198,2306,2050,2488,3056,2798,3133,3031,3617,3348,3583,3556,3413,4061,3101,889
,,Uruguay,0,0,0,0,0,0,17,33,36,28,12,0,0,0,26,47,62,82,95,30,0,0,0,0,0,0,17,21,0,4,0,0,0,0,26,11,14,34,11,0
,,Uzbekistan,0,0,2,12,22,12,0,11,23,31,35,47,24,18,26,41,46,160,256,92,0,0,2,0,10,0,0,11,11,19,23,11,0,6,2,17,10,88,88,8
,,Vanuatu,6,12,12,12,0,12,45,60,81,67,48,12,0,0,0,11,23,24,12,6,6,0,0,0,0,12,21,24,33,7,0,0,0,0,0,11,23,0,0,0
,,Venezuela,144,112,103,81,82,99,145,228,429,700,702,517,496,453,396,421,366,280,211,85,48,28,31,33,22,39,61,108,213,364,222,145,172,117,96,157,78,76,19,13
,,Vietnam,1670,2059,2769,3452,3540,3581,4867,7330,10629,12446,12836,13235,13945,14298,14305,14652,15476,15476,15365,6427,914,895,1209,1244,1140,1361,2083,3550,4473,4454,3932,3731,4537,4314,3997,4272,4652,4676,4205,1147
,,Yemen,28,24,12,33,46,48,24,34,48,48,24,11,34,12,11,35,70,72,24,0,4,0,0,21,22,0,0,22,12,0,0,11,22,0,11,35,22,0,0,0
,,Yugoslavia,46,59,30,23,35,36,36,24,24,12,0,0,0,0,0,0,0,0,0,0,22,11,6,11,11,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
,,Zambia,150,154,212,290,292,294,222,231,249,295,307,245,189,163,181,199,190,162,137,55,90,46,80,98,64,78,78,51,57,79,91,41,57,43,61,43,34,30,17,7
,,Zimbabwe,2093,2775,3364,4015,4646,4439,4807,4269,3657,2568,1641,1170,989,1271,1577,1885,2044,2031,2082,884,1097,711,988,1315,1274,1211,1435,1029,813,360,177,354,341,527,641,649,616,567,606,98
,QLD Total,,203755,231056,256339,272443,277267,278720,294494,340842,391942,395806,374961,368133,392392,408347,439573,479089,528725,591519,577797,240964,83563,84536,92107,93811,91435,98624,112598,136698,140686,132886,120129,125229,137728,134783,147877,158029,178001,197847,158613,42274
,SA,Other,40,49,116,166,164,156,166,133,107,91,70,44,35,30,24,24,0,0,0,0,28,13,56,82,44,60,46,49,11,19,22,32,11,6,0,0,0,0,0,0
,,Afghanistan,0,0,0,0,0,0,0,0,6,12,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,11,0,0,0,0,0,0,1
,,Albania,12,12,5,12,40,59,56,51,41,48,6,48,85,83,88,60,22,71,78,39,12,0,5,0,28,11,20,15,17,0,6,36,25,23,28,0,10,59,6,9
,,Angola,0,0,0,0,0,0,0,0,0,11,17,12,12,12,12,0,0,2,12,6,0,0,0,0,0,0,0,0,0,11,17,0,0,0,0,0,0,2,0,0
,,Argentina,93,99,97,83,56,35,30,47,68,68,108,80,72,59,104,109,163,251,240,111,57,39,25,23,20,11,6,11,44,68,36,56,12,47,44,37,67,83,60,33
,,Armenia,0,0,0,0,0,0,0,0,0,0,0,28,36,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,11,0,0,0,0,0
,,Austria,78,72,69,119,80,77,111,60,79,48,7,24,12,41,29,24,23,23,23,6,78,12,45,35,20,29,39,12,43,12,7,12,0,41,5,0,11,11,11,0
,,Azerbaijan,12,12,12,0,0,0,6,12,12,23,24,3,36,73,71,36,24,12,12,0,0,0,0,0,0,0,6,0,0,11,0,3,24,37,23,0,0,0,0,0
,,Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,23,12,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,0,0,4
,,Bahrain,12,11,12,0,11,12,13,40,24,35,36,12,11,12,22,28,34,24,0,0,0,11,0,0,11,0,13,16,0,11,0,0,11,0,10,16,22,0,0,0
,,Bangladesh,149,398,689,849,850,860,778,895,976,947,1148,1299,1408,1474,1462,1408,1694,1829,2268,1055,89,230,245,213,238,248,190,295,220,287,404,387,328,394,418,424,578,497,732,191
,,Belarus,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Belgium,179,210,179,205,200,216,329,402,451,392,352,291,236,178,126,82,60,54,56,17,95,42,59,61,116,72,161,90,127,140,100,39,32,34,6,10,0,6,32,5
,,Bhutan,40,46,65,100,95,60,24,113,119,133,130,94,62,133,238,236,95,158,299,146,16,34,29,28,23,0,24,89,23,61,34,22,38,61,106,32,11,110,155,14
,,Bolivia,53,48,12,23,12,0,0,0,0,17,12,18,24,32,63,93,81,69,59,28,29,0,0,11,0,0,0,0,0,17,0,6,0,20,15,45,33,21,11,4
,,Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,10,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
,,Botswana,390,626,897,868,831,603,537,468,357,168,36,31,54,36,24,0,11,22,24,6,234,242,273,100,135,63,117,48,21,0,0,19,30,0,0,0,11,10,0,0
,,Brazil,102,187,159,151,138,110,169,191,221,190,225,177,219,232,371,722,1100,1610,2256,1097,78,127,27,43,6,62,85,95,77,70,105,45,111,40,191,302,404,614,732,167
,,British Indian Ocean Territory,12,12,17,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Brunei Darussalam,259,259,287,205,221,155,135,84,88,98,107,139,122,48,56,83,101,158,161,78,55,79,59,49,77,35,27,0,28,50,11,79,14,0,32,35,29,62,41,24
,,Bulgaria,62,60,30,0,0,11,12,12,0,0,5,23,24,24,30,12,0,0,0,0,26,0,6,0,0,11,0,0,0,0,5,11,0,0,18,0,0,0,0,0
,,Burkina Faso,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Burundi,0,0,0,0,0,11,22,24,0,0,11,12,0,0,0,0,0,11,23,12,0,0,0,0,0,11,10,0,0,0,11,0,0,0,0,0,0,11,11,0
,,Cambodia,3,37,55,56,95,77,152,175,217,286,316,330,314,442,504,461,473,569,891,475,3,25,7,32,23,17,92,91,121,118,100,78,86,190,120,185,185,269,399,103
,,Cameroon,24,31,47,48,24,36,12,0,12,24,24,24,6,12,23,24,12,13,35,12,0,7,11,0,0,12,0,0,12,0,0,0,6,0,11,0,0,13,11,0
,,Canada,976,1133,1197,1213,1385,1524,1488,1402,1150,1180,1137,989,1019,981,977,858,849,795,932,605,484,281,453,385,509,492,396,370,250,424,333,257,311,225,161,174,261,207,284,197
,,Chile,18,56,42,64,58,106,131,114,185,261,298,314,259,187,161,135,96,147,233,113,18,20,18,40,34,46,59,78,77,57,118,62,31,19,29,39,0,75,101,11
,,China,4597,8509,15017,25840,37090,44531,51693,62352,73821,79715,74310,67413,66166,72100,80223,88953,93730,96363,93412,37961,2725,3817,7301,12508,14962,16475,18801,22320,26733,24431,20778,19761,22414,26260,27891,30897,29962,30243,26380,6845
,,Colombia,75,120,117,113,112,185,181,246,411,564,665,483,465,512,635,694,870,965,1575,880,39,72,33,77,40,65,73,114,231,216,221,135,201,164,251,214,318,413,675,232
,,Comoros,0,0,0,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Congo, Democratic Republic of",0,0,0,0,0,0,0,6,12,0,0,0,0,0,0,6,12,12,12,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0
,,Costa Rica,0,0,0,0,0,0,12,0,12,0,0,0,8,24,24,24,24,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,8,0,0,0,0,0,0,0
,,Cote d'Ivoire,0,0,11,18,24,23,24,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Croatia,0,11,12,10,12,34,47,24,10,0,0,11,18,12,22,24,35,12,0,0,0,11,0,10,0,22,11,0,10,0,0,11,6,0,10,0,11,0,0,0
,,Cuba,0,0,0,11,11,12,21,12,0,0,0,0,0,10,12,12,12,0,0,0,0,0,0,11,11,0,9,0,0,0,0,0,0,10,0,0,0,0,0,0
,,Cyprus,0,10,12,16,12,24,12,0,0,0,0,6,12,12,12,12,0,6,12,6,0,10,0,4,0,24,0,0,0,0,0,6,0,0,0,0,0,6,0,0
,,Czech Republic,9,18,24,30,35,12,0,0,0,6,12,46,58,48,24,30,24,34,45,18,9,6,0,6,11,0,0,0,0,6,0,34,10,0,12,6,0,22,21,0
,,Denmark,142,120,101,66,29,47,21,0,0,33,50,90,72,60,52,35,41,55,36,0,10,48,41,6,17,11,21,0,0,33,38,30,0,0,16,11,17,19,0,0
,,East Timor,44,82,58,48,24,11,0,0,38,208,370,322,284,150,175,175,126,12,12,0,44,22,10,0,0,11,0,0,38,160,94,22,56,30,55,7,6,0,0,0
,,Ecuador,0,23,36,39,47,36,42,47,47,33,34,58,139,104,51,41,92,120,82,21,0,23,0,27,11,12,18,23,11,21,22,58,55,20,15,17,44,24,10,9
,,Egypt,0,22,47,86,129,159,168,177,176,197,230,208,209,198,194,195,191,197,278,152,0,22,11,50,33,63,72,33,56,77,62,76,53,42,38,63,47,41,98,26
,,El Salvador,0,0,0,0,0,0,0,0,0,0,0,20,12,12,11,12,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,11,0,7,0,0,0
,,Eritrea,12,23,12,0,0,0,0,0,7,12,0,0,0,0,6,12,0,0,0,0,0,11,0,0,0,0,0,0,7,0,0,0,0,0,6,0,0,0,0,0
,,Estonia,12,6,12,12,0,0,0,0,0,0,0,0,0,0,5,12,12,12,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
,,Ethiopia,11,30,39,42,43,24,12,41,87,110,157,176,171,251,270,315,382,384,338,118,11,18,3,6,7,0,0,41,27,38,49,20,75,71,66,63,70,48,14,4
,,Fiji,79,104,116,95,54,40,41,53,83,71,36,35,31,33,35,12,8,24,51,30,31,32,32,11,6,16,5,29,23,11,0,11,7,21,11,0,8,0,39,0
,,Finland,48,87,121,115,77,72,102,121,130,71,34,24,24,23,0,10,41,57,62,18,24,27,49,7,17,0,78,25,34,11,22,0,0,11,0,10,17,9,26,0
,,France,209,202,182,169,193,210,183,273,337,292,212,126,210,263,226,232,294,349,326,122,89,58,98,73,85,54,75,129,85,64,56,42,102,47,70,40,90,121,86,38
,,French Polynesia,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Gabon,0,0,0,0,0,0,0,0,0,0,0,0,10,12,12,12,24,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,12,0,0,0
,,Gambia,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
,,Gaza Strip and West Bank,12,10,16,21,33,12,0,0,31,60,48,12,12,24,24,24,24,24,12,0,0,10,4,9,21,0,0,0,31,12,0,12,0,12,0,0,0,0,0,0
,,Germany,352,490,543,582,640,764,677,640,517,539,574,472,405,336,308,287,290,439,515,232,268,274,207,258,280,272,221,196,205,179,142,76,81,48,104,59,86,199,131,10
,,Ghana,21,44,48,38,47,42,28,12,47,111,173,194,236,295,342,338,493,512,475,198,21,20,0,14,11,6,16,0,35,39,41,14,68,103,114,62,145,116,103,0
,,Greece,30,40,36,54,54,59,36,22,42,12,35,34,24,17,34,24,40,36,36,28,6,28,12,30,18,23,24,22,30,0,23,10,0,5,22,0,28,0,24,4
,,Guatemala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4
,,Guinea,0,2,18,12,12,0,0,0,0,0,10,12,12,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
,,Haiti,0,0,0,0,0,0,0,0,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0
,,Honduras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8
,,Hong Kong,3913,5225,6785,7372,7232,6995,5957,6040,6599,8180,9379,9964,11900,11997,12041,11922,12052,11656,12775,6254,1789,1781,2417,2224,2108,1979,1661,1804,2543,3080,3199,2944,4136,3825,3425,3822,3604,3604,4507,1586
,,Hungary,24,12,0,0,0,0,0,11,23,12,17,22,31,74,155,173,146,159,143,69,0,0,0,0,0,0,0,11,11,0,17,10,19,38,47,53,38,51,11,21
,,Iceland,20,22,12,6,12,23,12,22,12,11,12,12,12,0,4,12,23,12,12,0,20,10,0,6,0,11,0,22,0,11,0,0,12,0,4,0,11,0,0,0
,,India,1967,3126,7861,14163,18878,21262,20218,18592,14452,9906,7465,7868,10982,13893,18887,22145,31809,52570,66638,26102,983,1566,4753,5703,7070,7258,6082,5380,2800,2346,2449,3296,4670,5577,7403,7997,14469,24370,23534,3692
,,Indonesia,2175,2579,2492,2296,2120,2059,2072,2826,3455,3241,3357,3643,3572,3396,2693,2752,2373,2287,2503,1128,915,875,836,544,584,643,920,1098,1031,733,1029,967,944,612,677,796,621,679,643,174
,,Iran,176,297,515,540,580,769,992,1364,1410,1493,1638,1797,1736,1532,1218,1198,1327,1281,1258,529,44,129,155,84,160,325,416,452,474,449,522,381,356,404,246,358,367,177,214,91
,,Iraq,0,11,12,12,11,12,23,69,88,118,132,209,282,472,493,341,233,150,78,22,0,11,0,0,11,0,23,57,4,22,36,77,102,208,25,17,5,6,6,4
,,Ireland,10,36,40,74,83,60,23,47,46,64,51,72,59,24,43,47,35,40,60,24,10,24,28,26,11,24,11,35,22,28,15,12,11,0,19,11,11,16,12,0
,,Israel,65,81,105,125,81,53,24,53,100,108,57,36,26,12,8,30,40,36,24,0,17,45,33,29,45,17,12,29,40,24,9,0,2,0,8,6,4,0,0,0
,,Italy,87,73,56,80,80,91,130,130,160,186,285,238,277,314,303,259,292,415,470,212,39,13,20,8,32,55,58,34,40,114,117,82,97,74,75,55,88,151,134,50
,,Jamaica,0,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
,,Japan,1897,2298,2471,2686,2659,2621,2323,2136,2005,1723,1465,1345,1346,1087,948,882,1046,1289,1433,607,901,882,827,1006,919,845,667,648,601,523,517,349,494,307,372,342,434,449,461,103
,,Jordan,24,55,49,46,60,29,53,47,29,24,51,30,59,82,77,87,122,125,147,72,12,31,25,10,0,17,29,11,17,0,39,6,23,10,5,27,38,29,39,0
,,Kazakhstan,24,11,12,18,12,12,95,124,120,48,53,51,73,72,70,44,66,55,80,42,0,11,0,6,0,0,95,28,0,0,17,27,13,12,22,8,30,19,20,6
,,Kenya,389,413,499,603,801,1009,1165,1103,1131,1300,1286,1440,1817,2709,3852,3920,4460,5488,5751,2053,113,113,211,231,261,385,325,275,399,448,434,612,821,1377,1632,1472,1808,1972,1359,355
,,Kiribati,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Korea, Democratic People's Republic of (North)",24,22,35,12,12,0,0,6,0,11,0,0,0,10,12,12,12,12,0,0,0,10,11,0,0,0,0,6,0,11,0,0,0,10,0,0,0,0,0,0
,,"Korea, Republic of (South)",1225,2030,2638,3343,4025,4099,4400,4348,4166,4515,4647,4308,3949,3350,3001,2922,3218,3676,3946,1615,613,986,1018,1351,1361,1471,1724,1432,1562,1779,1731,1392,1177,938,913,1122,1346,1324,1438,235
,,Kuwait,37,59,62,58,58,82,104,163,183,278,515,634,652,637,481,313,240,160,157,103,25,11,2,22,22,22,44,67,51,134,299,106,184,229,61,49,48,52,61,49
,,Kyrgyzstan,0,0,0,0,0,0,0,0,11,12,12,12,0,0,0,0,3,12,12,6,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,3,0,0,0
,,Laos,60,35,23,12,12,0,11,22,12,7,23,18,24,35,0,0,12,34,46,12,0,11,11,0,0,0,11,10,0,7,11,6,0,11,0,0,12,10,22,0
,,Latvia,23,12,18,28,39,36,12,12,0,0,0,0,0,12,23,12,12,16,12,6,11,0,6,4,3,0,0,0,0,0,0,0,0,12,11,0,0,4,0,0
,,Lebanon,40,69,62,46,24,11,23,26,42,51,73,89,83,117,130,106,101,77,77,49,16,33,38,10,0,11,11,2,30,27,25,29,23,57,22,22,29,17,17,19
,,Lesotho,0,20,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,6,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
,,Liberia,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,5,12,12,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,5,0,0,0
,,Libya,21,35,35,30,30,53,70,78,85,148,252,225,130,95,60,35,18,12,12,0,21,11,11,6,6,17,22,6,13,76,108,21,22,11,0,11,6,0,0,0
,,Liechtenstein,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
,,Lithuania,0,0,0,0,0,11,12,12,12,0,0,0,10,12,6,0,0,4,29,21,0,0,0,0,0,11,0,0,0,0,0,0,10,0,6,0,0,4,17,3
,,Macau,12,10,0,30,46,35,45,42,46,60,111,175,269,353,429,363,311,353,367,179,0,10,0,30,22,11,21,6,34,0,63,67,89,137,153,123,119,137,103,17
,,Madagascar,0,0,6,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Malawi,11,23,24,12,0,0,17,35,36,47,47,41,43,23,33,48,30,17,30,18,11,11,0,0,0,0,17,11,0,23,11,5,7,11,21,0,6,5,6,0
,,Malaysia,15218,19435,21353,21105,20008,20196,20417,23326,24128,22829,20693,19777,18101,16949,16106,15207,13774,13201,12202,4454,7490,7387,7133,6117,5584,6516,7205,8518,7388,6857,6161,6109,4997,5489,4718,4431,3478,3709,2926,638
,,Maldives,152,229,290,256,206,196,200,217,242,153,119,124,96,72,94,89,60,64,89,54,68,121,146,40,86,52,68,85,74,33,23,40,0,48,34,17,0,28,29,18
,,Malta,0,0,0,0,0,11,12,23,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0
,,Mauritania,0,0,0,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Mauritius,184,175,142,107,145,200,230,292,228,231,228,213,147,173,164,119,151,177,238,108,76,31,58,11,85,80,50,100,24,39,72,69,27,65,32,23,79,57,58,12
,,Mexico,47,84,121,118,130,134,94,87,206,303,322,240,241,202,250,251,233,196,202,97,35,12,61,34,58,50,22,51,134,159,70,60,85,58,106,71,29,52,58,19
,,Moldova,6,12,12,23,23,24,24,12,0,0,11,12,0,0,0,0,0,0,0,0,6,0,0,11,11,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
,,Mongolia,0,9,12,12,0,11,12,7,18,32,54,29,22,30,77,71,68,91,131,73,0,9,0,0,0,11,0,7,6,20,6,5,10,18,29,11,32,43,35,13
,,Morocco,0,0,0,6,12,0,0,0,6,23,35,24,24,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,11,11,0,0,0,0,0,0,0,0,0
,,Mozambique,0,0,0,6,12,12,12,0,0,0,0,9,32,24,31,12,12,11,12,6,0,0,0,6,0,0,0,0,0,0,0,9,20,0,7,0,0,11,0,0
,,Myanmar,23,38,65,46,64,111,123,117,89,95,124,133,153,181,291,300,361,452,446,173,11,26,17,22,28,39,27,33,41,35,28,61,45,109,99,108,109,164,122,23
,,Namibia,12,0,0,0,0,0,0,0,11,12,18,12,0,0,0,0,0,0,6,6,12,0,0,0,0,0,0,0,11,0,6,0,0,0,0,0,0,0,6,0
,,Nepal,82,69,94,142,234,348,680,1177,1322,1741,2040,1585,1878,2570,3351,5447,8148,11316,14761,5852,46,21,58,58,102,168,404,433,386,925,540,541,834,1082,1479,3131,3768,4980,5977,776
,,Netherlands,45,71,87,71,106,76,178,202,140,153,127,82,55,99,163,160,166,193,130,52,9,23,27,23,34,52,94,142,80,57,31,22,31,39,67,52,58,49,46,16
,,New Caledonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Nigeria,35,34,74,60,101,126,88,59,89,122,196,376,566,545,810,1234,1728,2083,2195,957,11,22,38,12,41,54,16,11,65,62,112,256,242,161,486,454,864,631,707,171
,,North Macedonia,0,0,0,0,6,23,24,12,12,0,0,10,12,12,12,12,0,7,12,6,0,0,0,0,6,11,0,0,0,0,0,10,0,0,0,0,0,7,0,0
,,Norway,3221,2858,2205,1635,1134,831,641,420,196,182,208,107,118,118,90,24,28,35,46,23,1289,890,669,483,546,291,341,108,88,74,64,23,34,22,18,0,28,11,22,5
,,Oman,12,72,146,159,144,136,135,148,171,183,215,244,421,664,897,1042,961,925,949,457,0,72,62,51,36,28,51,64,27,51,71,124,289,280,249,382,229,181,217,91
,,Pakistan,398,541,713,1170,1507,1885,2018,2066,2124,1849,1510,1473,1683,2132,2391,2767,3432,3702,4330,1781,206,277,221,570,487,757,626,746,540,601,466,537,543,716,855,991,1164,1110,1318,221
,,Panama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
,,Papua New Guinea,12,12,53,59,58,47,42,40,82,93,75,48,72,87,85,95,84,88,144,61,0,12,53,11,10,11,18,16,34,33,3,12,12,39,13,11,36,16,60,19
,,Paraguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,2,0
,,Peru,47,40,38,90,83,109,128,111,83,48,23,51,160,135,139,126,166,138,251,154,23,4,26,30,11,73,44,15,35,0,11,51,76,39,19,42,58,18,155,22
,,Philippines,291,319,304,288,292,196,340,507,730,1381,1757,1717,2151,1649,1622,1780,1770,2503,2648,1073,87,79,76,84,100,52,160,231,346,781,653,637,879,689,650,832,786,1075,1004,221
,,Poland,47,48,126,123,118,149,92,58,85,118,140,128,161,210,209,161,106,112,163,93,23,24,78,39,46,17,32,22,49,22,68,68,53,66,29,41,34,52,67,9
,,Portugal,12,0,0,17,41,79,90,122,117,132,194,181,206,206,267,215,219,174,233,130,0,0,0,17,17,31,30,50,21,60,86,49,62,86,63,47,51,42,101,22
,,Qatar,0,0,0,23,113,130,75,94,64,82,48,55,42,36,24,0,11,15,18,6,0,0,0,23,89,22,15,10,28,22,0,31,6,0,0,0,11,3,6,0
,,Romania,24,12,44,29,56,35,12,24,47,60,45,54,36,34,12,11,12,12,10,6,12,0,32,17,32,11,0,12,23,12,9,6,0,10,0,11,0,0,10,0
,,Russian Federation,148,156,134,72,103,157,194,244,271,174,171,199,280,263,136,146,186,212,188,62,52,36,38,12,55,73,62,112,91,30,63,79,100,23,40,62,78,44,56,8
,,Rwanda,0,0,0,0,0,0,0,6,12,0,0,0,0,0,0,11,12,12,12,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,11,0,0,0,0
,,"Samoa, American",0,0,0,0,0,0,0,0,0,0,0,5,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0
